name,ctype,csubtype,contract,address,all_categories
Curve Finance,DeFi,DEX,Meta-zap,0x2af43209b366a4491cce0a97c5a7b6059fd21295,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,MetaRegistry,0xe6da14500f0b5783e2325f9c5a7ee5d99da0fb42,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,RateProvider,0x129578f94c253b8bc903bf2b73d07bf2583cc11d,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,Router,0xff5cb29241f002ffed2eaa224e3e996d24a6e8d1,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableSwapFactory,0x8271e06e5887fe5ba05234f5315c19f3ec90e8ad,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableswapHandler,0x46feffb8ed015250cd48f9bf7f4a4584049ca4ae,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableswapMath,0xe460dec242bc0a1a364c250a9d2f731d8d923650,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableswapMeta-amm,0x845b942deef9bc20a39a8b34b23e8c33ac2921bf,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableswapPlain-amm,0xfc687efafed297b765edecf8179c32195597c2df,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,StableswapViews,0xc9459a955a885467f01ccc531c51dbcc957993c0,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TricryptoAmm,0x286182220e734aac601282ba059de531d4beac1f,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TricryptoFactory,0x6e28493348446503db04a49621d8e6c9a40015fb,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TricryptoHandler,0xbbbe22dee69747e61f676cf50465b1bfba4a4dd6,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TricryptoMath,0xa4a2e7e11cbe5213b316e801d2172ef10e566a96,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TricryptoViews,0x2fe4a238f6a3bd7faa68e0b6951e3fafdb2876eb,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TwocryptoAmm,0x5f870c2cf22ff829b5dc1da09856b79da6544f94,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TwocryptoFactory,0xe7fbd704b938cb8fe26313c3464d4b7b7348c88c,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TwocryptoHandler,0x7e595b3b77cc16680c30617b88e9b87f987ac934,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TwocryptoMath,0x95249dd40dda3c0cbb4a7dd7d287e04aa68a3d4b,DeFi::DEX;DeFi::Stableswap
Curve Finance,DeFi,DEX,TwocryptoViews,0x17c67c3a38f68cbc4dec77fd7378978971b6c271,DeFi::DEX;DeFi::Stableswap
DYORSwap,DeFi,DEX,Factory,0xc474aecca08e858313aaecb23f384ad0f5e553fa,DeFi::DEX
DYORSwap,DeFi,DEX,Router,0x16581fcb162ecaae0c8658227d3028f035b4b7fc,DeFi::DEX
DYORSwap,DeFi,DEX,RouterV2,0x26ceb692410c4b3c12d63e01cfc03eea103fc474,DeFi::DEX
Dexalot,DeFi,DEX,BannedAccounts,0xa5c079c1986e2335d83fa2d7282e162958e515d5,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,Create3Factory,0x06b82468100a3a7b0eac77289f0d1ab920573b16,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,DexalotRouter,0x3d3e4f0523500f95039d0fe600acf2ade4b06eb9,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,Exchange,0xc725229aefeab5faec9cc1667d79d9478e564a0c,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,LzV2App,0x170c15cb9887e6adb097518104b174df212bb190,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,MainnetRFQ,0xa0421a4db5bb7577f9bb9b577b5f600a642368be,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,Portfolio,0x1fd108cf42a59c635bd4703b8dbc8a741ff834be,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
Dexalot,DeFi,DEX,PortfolioBridge,0x246c87368580acd6e9ca46bf112ad91978389634,DeFi::DEX;DeFi::Cross Chain;DeFi::Trading Interfaces
